Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,E84A904909dF528,Liu-Hoover,http://www.day-hartman.org/,Western Sahara,Ergonomic zero administration knowledge user,1980,Online Publishing,6852
2,AAC4f9aBF86EAeF,Orr-Armstrong,https://www.chapman.net/,Algeria,Ergonomic radical budgetary management,1970,Import / Export,7994
3,ad2eb3C8C24DB87,Gill-Lamb,http://lin.com/,Cote d'Ivoire,Programmable intermediate conglomeration,2005,Apparel / Fashion,5105
4,D76BB12E5eE165B,Bauer-Weiss,https://gillespie-stout.com/,United States of America,Synergistic maximized definition,2015,Dairy,9069
5,2F31EddF2Db9aAE,Love-Palmer,https://kramer.com/,Denmark,Optimized optimizing moderator,2010,Management Consulting,6991
11,C494aBe0CDB9c70,Gonzales Inc,http://lara.org/,Angola,Enterprise-wide attitude-oriented conglomeration,2019,Capital Markets / Hedge Fund / Private Equity,2252
14,e5CA6529DCD4030,Mcpherson-Blanchard,http://www.ward.com/,Bulgaria,Integrated didactic product,1972,Law Enforcement,9890
18,e5cab57FFF6f4bd,Abbott-Arroyo,http://delgado.net/,Hungary,Visionary holistic firmware,1994,Architecture / Planning,117
19,3851f381Ea54d70,Trevino-Foley,https://baxter.com/,Canada,Enterprise-wide 6thgeneration parallelism,1973,Wine / Spirits,6765
21,0502B16c90e7072,Shepherd PLC,http://bailey.org/,Jamaica,Sharable zero-defect methodology,1972,Newspapers / Journalism,5687
25,F86a2ca7a4def88,King Inc,https://love.info/,French Southern Territories,Phased logistical project,2013,Real Estate / Mortgage,7464
26,FAACec3019Bf7F5,Jacobs-Kline,https://www.smith-hardin.org/,Bhutan,Inverse 6thgeneration pricing structure,1988,Sporting Goods,2788
29,8Dddb95Ec0BdfF3,Beltran Ltd,http://www.ray-proctor.net/,Uzbekistan,Digitized 4thgeneration encryption,2016,Media Production,2952
30,8B901f70eAF1BBE,Chaney-Kent,https://edwards-gutierrez.com/,Hungary,Expanded analyzing Graphic Interface,1972,Professional Training,1075
31,99c991d513A6EFB,Thomas PLC,http://www.potter.net/,Maldives,Right-sized national projection,1972,Telecommunications,2548
32,fa86Cf14EFab3DC,Patton Inc,http://moreno.info/,Seychelles,Cloned mobile architecture,2002,Venture Capital / VC,95
33,CAFbcFc67aB9e31,Gay Inc,https://moses-dunn.com/,Myanmar,Polarized explicit focus group,2019,Luxury Goods / Jewelry,8106
34,ad19ebCB2BB7eE5,House-Perry,http://www.hogan.com/,Maldives,Vision-oriented 6thgeneration leverage,1977,Arts / Crafts,2938
35,9f8eFb3D03193DB,Cortez LLC,http://woodard.com/,Antarctica (the territory South of 60 deg S),Customer-focused background approach,1972,Printing,9056
36,2C296aE0AA2Ff5d,Bridges-Carroll,http://blevins-humphrey.com/,Liechtenstein,Extended 24hour implementation,1999,Commercial Real Estate,8937
37,83f947d8Ee5773B,Powers-Mack,https://www.berg.com/,Falkland Islands (Malvinas),Future-proofed grid-enabled application,1983,Sporting Goods,3985
39,dAA7BD2c863aA68,Chase-Saunders,https://www.carr.com/,Palestinian Territory,Pre-emptive tertiary solution,1975,Venture Capital / VC,9145
40,D214D152BdF2F3D,Hood-Becker,http://www.houston.org/,Botswana,Automated methodical Graphical User Interface,2004,Human Resources / HR,1175
41,8F55cD0AD6DCdE2,Francis-Frazier,https://roberts.biz/,Christmas Island,Fully-configurable encompassing methodology,2015,Gambling / Casinos,6202
42,DCc0EfbDF7B06D3,Spence-Tran,http://andrews.net/,United States of America,Open-architected foreground flexibility,1996,Package / Freight Delivery,7426
43,Ef7e820BC9f7e49,Mcdowell-Dawson,http://www.townsend-farrell.com/,Chad,Front-line multimedia Internet solution,1976,Sporting Goods,2861
44,28BF321Ddd65aF7,Harrell LLC,https://villegas.info/,Puerto Rico,Up-sized upward-trending standardization,2011,Motion Pictures / Film,2726
45,43c4fEC9374ccDB,Mayer-Walter,http://www.ramos.com/,Suriname,Assimilated heuristic monitoring,1997,Civic / Social Organization,4595
46,B6C7D83Ac8b2f48,Cooley-Larson,https://washington.com/,Sri Lanka,Advanced fresh-thinking encryption,1988,Furniture,4171
47,DC6d6E7Ea7deAbd,Henson Ltd,https://www.conway.com/,Heard Island and McDonald Islands,Decentralized 6thgeneration Graphical User Interface,2010,Photography,406
48,CDC3230b0a7FaA5,Frye and Sons,https://hughes.net/,Vietnam,Innovative global contingency,2003,Library,746
51,9aAAD5026aa8ABF,Leonard-Wilkinson,http://houston-bailey.com/,Chile,Customer-focused mobile collaboration,1995,Wholesale,8952
52,94FCA153474415b,Walter and Sons,https://hull.com/,Nigeria,Synergistic bifurcated complexity,2014,Information Technology / IT,440
53,bef92c0ca13E5b8,Pratt LLC,https://www.holland.info/,South Georgia and the South Sandwich Islands,Synchronized 4thgeneration moderator,1986,Medical Equipment,5359
54,eBD8BceeFc9A560,Hebert-Santos,http://holloway.com/,Cyprus,Grass-roots optimal analyzer,2004,Gambling / Casinos,7982
55,a3bb544c4f950e5,Hunt Ltd,http://www.fritz.com/,Bahrain,Assimilated optimizing system engine,1977,Primary / Secondary Education,1693
57,f3ef8FF6A07463C,Little Ltd,https://kramer.net/,South Africa,Sharable coherent leverage,2016,Publishing Industry,7775
58,D3e19C1C996C3bB,Merritt-Mcgrath,http://odonnell.biz/,Egypt,Monitored value-added database,1988,Maritime,6151
59,dEDd9D0Aa6115D3,Collier and Sons,http://www.woodward.com/,Brazil,Organized foreground forecast,2020,Transportation,9151
60,AF1F4eAFeF4dC1a,Brooks LLC,http://www.pollard-gross.com/,Norway,Re-engineered holistic analyzer,2004,Business Supplies / Equipment,58
63,B639Fadb1D47efF,Aguirre Ltd,http://www.wise.com/,Nigeria,Upgradable logistical hierarchy,2020,Public Safety,4941
64,EA8a779beC3c8FF,Romero-Aguirre,https://www.cooley.com/,Bahamas,Digitized demand-driven emulation,2006,Think Tanks,142
65,E91f1F8A749dDaf,Caldwell Inc,https://www.riley-hudson.com/,Morocco,Open-source hybrid analyzer,2008,Library,1729
67,f8bD41B97F5e96a,Scott-Ramsey,https://wyatt.com/,Czech Republic,Triple-buffered optimal array,2018,Design,8263
68,BBFAFdac894727a,Kennedy and Sons,http://webb.com/,Peru,Re-engineered modular emulation,1994,Food Production,3296
69,ADfb509e13A3e5e,David and Sons,http://www.barnes.biz/,Serbia,Realigned motivating Local Area Network,2018,Events Services,4660
70,CBE3dA81DFae3a3,Graves Inc,http://www.hinton-potts.com/,Dominican Republic,Cross-group multi-state emulation,1986,Staffing / Recruiting,8802
71,B4Af39eFb508DEE,Mccann-Mcguire,http://www.fleming-farrell.org/,Lesotho,Front-line client-driven project,1970,Legal Services,5800
72,9B19A8FaE4A1EED,Mclean-Mccarty,https://yates.com/,Qatar,Down-sized directional matrices,1978,Transportation,7610
74,c8EfD8A1ae4E3CF,Taylor LLC,http://www.spears.com/,Central African Republic,Decentralized heuristic orchestration,1997,Chemicals,8904
75,D9b675D794bBA4e,Young LLC,http://mcintyre-blankenship.org/,Iran,Cross-platform fault-tolerant collaboration,1970,Political Organization,5683
76,38dF1aeDEF8e004,Holden-Wolf,https://flynn-hartman.org/,American Samoa,Mandatory 24hour monitoring,1996,Utilities,5416
77,Da2FE1267CcbbaE,Paul Ltd,http://www.archer.com/,Holy See (Vatican City State),Optional homogeneous throughput,1993,Media Production,4929
78,a45e805Db7fEEE1,Hinton Inc,https://www.hurst.info/,Iran,Inverse well-modulated leverage,2003,Retail Industry,2658
79,50A5cfCDED6ad6a,Stone Inc,http://www.blankenship.info/,Cote d'Ivoire,Triple-buffered web-enabled moderator,1984,Alternative Medicine,816
81,9Ff8af1dCacbBBc,Donaldson-Romero,http://anthony.info/,Turkmenistan,Advanced mission-critical capacity,2002,Library,3232
83,0bBadDD9247cAbb,Little Ltd,http://www.koch.com/,Mozambique,Cross-platform static workforce,1989,Farming,381
84,89D4ED3f2bd8cdc,Mercado Ltd,https://www.novak-mccarthy.com/,Lebanon,Realigned responsive definition,1971,Consumer Electronics,4759
85,FFDB822C7597C10,Morrow-Lawson,http://www.mann.net/,Antigua and Barbuda,Team-oriented empowering Graphical User Interface,2009,Food / Beverages,3925
86,cC249C3837eBE42,Compton LLC,https://cowan.net/,Tonga,Extended homogeneous hub,1997,Industrial Automation,2011
87,efdFd467F6089d2,Clay-Delgado,https://www.whitney.com/,Morocco,Open-architected 3rdgeneration initiative,2003,Fundraising,7902
88,FE6b0d849EA1ff8,Fuller Inc,http://www.meyers-mcmillan.info/,Guam,Open-architected interactive knowledgebase,2013,Food / Beverages,9074
89,Ba404ddD2AD309a,Mendoza Ltd,https://www.rice-gutierrez.org/,Bahamas,Automated upward-trending migration,2002,Textiles,5158
91,E3f8eFc10AD96E9,Robbins-Contreras,https://boyer-nicholson.com/,Lao People's Democratic Republic,Profound optimizing instruction set,1998,Investment Banking / Venture,2330
96,70EECEEE7D6fAEc,Byrd Inc,https://dunlap.biz/,Cocos (Keeling) Islands,Sharable discrete frame,2016,Events Services,2240
97,7647af9d4705c6b,Norton Group,https://collins-michael.com/,Burundi,Right-sized 3rdgeneration moderator,2016,Utilities,9497
99,7Ff02e57F063f64,Miranda Group,https://www.wong.net/,Vietnam,Reactive upward-trending project,1995,Business Supplies / Equipment,7429
100,06Df66C7ec45CF9,Malone-Odom,https://roy.com/,Nepal,Persevering tertiary intranet,1997,Alternative Medicine,4897
101,9Dd10a3ccB2B1Bd,Gamble-Hill,https://www.chaney-eaton.com/,Brunei Darussalam,Extended zero administration database,1993,Computer / Network Security,3468
103,c763F85Cc571e19,Wilcox LLC,https://www.holder.info/,Brazil,Organized user-facing analyzer,1988,Computer Games,8471
104,9FB0F575EDa185e,Pham-Bond,https://www.vance.com/,Comoros,Multi-tiered grid-enabled flexibility,1987,Real Estate / Mortgage,6746
105,84eE8fCfEAbB3E1,Bush and Sons,https://www.harrison-cantrell.info/,Tunisia,Stand-alone holistic throughput,2015,Railroad Manufacture,6321
106,c18b4aaD9AdF4cF,Donaldson Group,https://www.horton.biz/,Belarus,Streamlined coherent functionalities,2016,Shipbuilding,1027
107,2A7407b15FB99De,Heath-Barrera,https://www.shah.com/,Senegal,Innovative fresh-thinking capability,2018,Retail Industry,9569
108,96BBBefa9D8DaEc,Ward and Sons,https://www.porter.com/,France,Distributed intermediate conglomeration,2001,Veterinary,8887
109,c85a9a15aaD5EF6,Nielsen-Cooper,https://rojas-braun.com/,Tunisia,Polarized composite circuit,1975,Law Practice / Law Firms,5303
110,Df5EA12EAde4A57,Davies-Fox,https://www.kramer.net/,Philippines,Devolved heuristic standardization,1982,Program Development,6397
111,702ce2294FEb1a9,Griffith Group,http://www.brock.info/,Djibouti,Monitored disintermediate adapter,2009,Furniture,1839
114,dDba684d69764EB,Conley Group,http://santana.com/,British Indian Ocean Territory (Chagos Archipelago),Balanced coherent contingency,2013,Events Services,3806
115,A6fBFF338EF6daF,Duncan-Bradshaw,https://lawson-douglas.com/,Oman,Multi-tiered intermediate process improvement,1998,Wine / Spirits,7209
116,F801BAC42f9ac1F,Rowland Group,http://www.sutton-reynolds.com/,Antigua and Barbuda,Assimilated stable capacity,2000,Computer Games,4998
118,F9A0D3AD04Fd9Fe,Mccann LLC,https://www.duran.com/,Malaysia,Self-enabling 24hour firmware,2009,Maritime,7152
120,0dCA8aFEfdA7CFA,Hardy-Clements,http://rollins.com/,El Salvador,Automated transitional model,2010,Machinery,8486
123,E8920CaBc59fb1e,Robles-Hubbard,http://santos.com/,Micronesia,Stand-alone client-server matrix,2021,Executive Office,3536
124,C3Ea6c9A31EDf44,Sanchez-Bell,https://www.grant-duffy.com/,Lao People's Democratic Republic,Automated upward-trending emulation,1987,Graphic Design / Web Design,9240
125,DcFdAc12Eca9f34,Adams and Sons,https://www.paul.biz/,Philippines,Organized motivating protocol,1987,Computer / Network Security,1107
126,F56155A0A9cE693,Cole-Gordon,http://bauer.biz/,Bahrain,Distributed local implementation,2017,Furniture,7082
128,d41EdeefDcd9E33,Bautista PLC,http://www.oconnell.biz/,Rwanda,Progressive 3rdgeneration knowledge user,1987,Nanotechnology,7917
129,bdf1B9F31A0daCB,Alvarado Inc,http://www.bowen-callahan.org/,Bhutan,Enhanced client-server leverage,2020,Hospitality,4256
131,F4BDEc9dBC6fD93,Pacheco-Bruce,http://duffy-kent.com/,Ecuador,Open-architected radical website,1982,Furniture,20
133,cb63A5285E8ADa9,Hodges-Rollins,https://www.conway.biz/,Tanzania,Re-contextualized real-time task-force,1970,Mechanical or Industrial Engineering,8970
134,aEA01BCfC2356ea,Baker-Sexton,https://www.sheppard.com/,Portugal,Cross-platform tertiary neural-net,2007,Commercial Real Estate,2441
137,9Fe8c132becBbc3,Sweeney-Melendez,http://cardenas-mendoza.com/,United Kingdom,Networked national installation,1984,Newspapers / Journalism,4206
138,4BEaCCfEc62bbD7,Vaughan LLC,http://www.cantu.info/,Dominican Republic,Fundamental bifurcated support,2015,Banking / Mortgage,7755
139,c3C4eaDedDCaacb,Pitts Ltd,https://www.patrick-townsend.com/,Georgia,Adaptive system-worthy knowledgebase,1989,Public Relations / PR,2674
140,E3bE91a65f9A038,Drake LLC,http://mitchell-melton.com/,Vanuatu,Total modular intranet,1971,Restaurants,9615
146,A1Fd7C8D8bD67aC,Gross-Duncan,http://haley.com/,Somalia,Quality-focused tangible product,2017,Cosmetics,723
147,C32b949fbEf9De1,Hutchinson-Leblanc,http://lamb-cameron.com/,Tuvalu,Advanced modular concept,2007,Wine / Spirits,1431
148,b4F29b10aEa87C4,Caldwell-Atkins,http://bryant.com/,Svalbard & Jan Mayen Islands,Advanced value-added data-warehouse,2000,Media Production,8706
150,Bbd8aa10dDeb16B,Branch-Cross,https://www.cohen.com/,Guam,Secured asynchronous budgetary management,1990,Investment Banking / Venture,1228
152,1AEe77Abf8647f4,Castro-Mercer,http://merritt.com/,Jersey,Synergistic global leverage,1974,Industrial Automation,3308
153,93b4928C0CF88A7,Owens PLC,https://www.wall-carey.com/,Sudan,User-centric asymmetric system engine,2008,Legal Services,4343
155,334B91221694B23,Stephens Group,http://www.howe-hays.com/,Comoros,Vision-oriented discrete contingency,1983,Fundraising,953
159,Da71cDD001e06d6,Orr-Joseph,http://www.dodson-gallagher.net/,Congo,Implemented composite implementation,2001,Textiles,4375
160,a376A6d71F1c36C,Mills-Humphrey,https://www.barker.info/,Brazil,Inverse optimizing architecture,2017,Luxury Goods / Jewelry,3778
162,B73E7caC4Fae8fe,Young Inc,https://stout-schwartz.com/,Costa Rica,Automated logistical migration,2001,Computer Networking,3541
163,eec9cEbD4CdFD4E,Lam Group,http://koch.org/,Kazakhstan,Configurable 4thgeneration archive,2006,Broadcast Media,2760
165,badd0d0BceD2Ee2,Bush PLC,http://macdonald.org/,Taiwan,Versatile fault-tolerant open system,2016,Arts / Crafts,4505
168,d74C1a7b5F21EdF,Costa PLC,https://smith.com/,Somalia,Self-enabling 6thgeneration database,1982,Arts / Crafts,5077
169,a6Bc77d5cE07c7B,Parker Ltd,https://www.burch.org/,Christmas Island,User-friendly human-resource core,2009,Accounting,6947
170,ecbDde6BAAcE59e,Hickman LLC,http://www.bender.com/,Nigeria,Versatile interactive throughput,2011,Industrial Automation,1282
171,2bEBfED593D58cC,Horton Inc,https://hartman-poole.com/,Serbia,Reduced optimizing hub,2006,Food / Beverages,3599
172,924FC506bd20747,Perez Inc,http://barry.org/,Haiti,Enterprise-wide bandwidth-monitored workforce,2020,Paper / Forest Products,3215
173,3bc225574eaD26F,Lucero-Rodriguez,http://krueger.com/,Switzerland,Down-sized zero tolerance complexity,1976,Defense / Space,9625
174,8b6cbF8AC0c123e,Boyd Group,https://blair.info/,Moldova,Multi-channeled bandwidth-monitored system engine,1995,Medical Equipment,7344
175,522809bebBfcE43,Pollard LLC,http://www.paul-stein.com/,French Guiana,Cross-group zero tolerance info-mediaries,2013,Performing Arts,9329
176,B3eA88cB559EDd6,Mckay Group,http://baird.biz/,Indonesia,Phased empowering benchmark,2021,Consumer Electronics,2304
179,0b8D9a20E42358C,Alvarez LLC,http://www.yates-buck.com/,Seychelles,Digitized static orchestration,1973,Research Industry,5176
180,CCb6A3bcCCd8BD0,Ballard-Benjamin,https://www.torres.com/,Gambia,Future-proofed transitional initiative,1984,Consumer Electronics,1339
182,2CF1Cef7d253FD3,Hayden and Sons,https://kirk.com/,Norfolk Island,Open-architected eco-centric standardization,2013,Hospital / Health Care,8746
184,E1DD58a2ceD2812,Koch Group,https://www.mendoza.com/,Croatia,Progressive upward-trending flexibility,1994,Government Relations,6847
186,6D359E1183d3849,Raymond-Rivers,https://avery.net/,Nicaragua,Public-key needs-based middleware,1995,Plastics,3836
188,2eaA3c5D6CC37B9,Schneider-Elliott,https://molina.com/,Bahamas,Synchronized zero administration core,2021,Supermarkets,7306
190,EEf6db5cCece24A,Huynh and Sons,https://christian.com/,Swaziland,User-centric mission-critical knowledgebase,1993,Furniture,1359
191,4c99A0E9FF8ED03,Gonzales-Schneider,https://chavez.com/,Timor-Leste,Triple-buffered asymmetric structure,1989,Oil / Energy / Solar / Greentech,687
192,F8efFDd1fE6cfC0,Harding Inc,http://www.roach-best.net/,Pakistan,Profit-focused hybrid emulation,1986,Events Services,6891
193,21A92A2a6D4Faa2,Shelton PLC,https://medina.info/,Saudi Arabia,Multi-layered client-server Internet solution,1973,Food Production,9909
197,aeec625Ffe6BbCC,Espinoza PLC,http://strickland.com/,Colombia,Horizontal hybrid groupware,1999,Construction,4441
199,dcFFb6BCB80bC16,Pugh-Sampson,http://chapman.com/,French Southern Territories,De-engineered bandwidth-monitored definition,1986,Wireless,9256
201,D75feA9c63BB7D9,Galloway-Williamson,https://barrett.com/,Libyan Arab Jamahiriya,Upgradable attitude-oriented structure,1975,Animation,1512
203,9F63C73BE6A39E9,Michael and Sons,https://brennan-molina.com/,Austria,Multi-tiered 3rdgeneration system engine,1988,Museums / Institutions,3837
204,177D0EdE36a085F,Lara-Andrews,http://www.hood-holt.com/,United Arab Emirates,Assimilated heuristic initiative,1978,Fundraising,2354
205,ef8A4aF90cADcd0,Harvey Inc,https://www.mitchell.com/,Singapore,User-friendly exuding encoding,1998,Maritime,4256
207,E3b3A0E923874Cf,Hall Group,http://choi.org/,Greenland,Persevering tertiary database,1982,Construction,5969
208,DC47da5dBD7F9a7,Rocha-Snyder,https://www.campos.org/,Guatemala,Focused zero-defect leverage,1986,Machinery,2008
210,f51c59F3DAAADA6,Keith-Mora,http://www.beck.com/,Uganda,Assimilated user-facing Graphic Interface,1976,Music,1555
212,Df6AF24EE566F49,Olson-Mcconnell,http://www.christensen-norton.com/,Faroe Islands,Customer-focused local info-mediaries,1970,Medical Equipment,9170
213,Cc45CcF52feC2FE,Bowen Group,http://www.torres.biz/,Ecuador,Versatile motivating encoding,1980,Market Research,2179
